Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-28.73025	-52.87779	24.14754	0.0362626	0.0368561	0.00220455	0.00489957	0.0302996	0.000524379	0.00987591	0.0330046	0.0308722	0.0179595	0.116432	0.0257842	0.139581	0.0201184	0.0330068	0.00258607	0.00620684	0.0176846	0.040105	0.00956651	0.0635041	0.0645917	0.0357699	0.461665	0.685948	0.889049	1.1248	1.45784	2.16607	0.5588717	0.0466283	0.0473914	0.00283472	0.00630012	0.0389607	0.000674272	0.0126989	0.042439	0.039697	0.0230933	0.149714	0.0331546	0.17948	0.0258692	0.0424418	0.0033253	0.00798106	0.0227397	0.051569	0.0123011	0.0816567	0.0830552	0.0459948	0.416866	0.583134	0.416866	0.7776958
36	-28.29073	-51.277	22.98627	0.0568814	0.00246311	0.00519129	0.00376044	0.0104939	0.00731824	0.00567519	0.00519976	0.00186009	0.0132852	0.0125396	0.00914617	0.0320839	0.00434649	0.0184261	0.014135	0.0197948	0.0146419	0.0141561	0.0262035	0.0284269	0.00687748	0.0109434	0.0886827	0.306802	0.691686	1.44574	3.25943	11.2762	1.751772	0.175641	0.00760572	0.0160299	0.0116117	0.0324037	0.0225976	0.0175241	0.0160561	0.00574369	0.0410226	0.0387204	0.028242	0.0990702	0.0134213	0.056897	0.0436469	0.0611234	0.045212	0.043712	0.0809124	0.0877781	0.0212366	0.0337915	0.875806	0.124194	0.8758065	0.3238499
72	-29.16632	-52.58197	23.41565	0.0136288	0.130484	0.0178497	0.0245874	0.0835763	0.0113415	0.044666	0.0307449	0.00559876	0.0185974	0.0730757	0.119006	0.154661	0.016983	0.0272783	0.0610851	0.000489323	0.0164831	0.036313	0.0344169	0.0464866	0.129653	0.0289328	0.263517	0.521827	0.816345	1.22497	1.91634	3.79482	0.9643119	0.0121044	0.115889	0.0158532	0.0218372	0.0742281	0.010073	0.03967	0.027306	0.00497253	0.0165172	0.064902	0.105695	0.137362	0.0150834	0.0242271	0.0542526	0.000434591	0.0146394	0.0322513	0.0305673	0.041287	0.115151	0.0256966	0.407335	0.592665	0.4073354	1.125939
108	-36.07138	-59.39354	23.32216	0.0427471	0.0636349	0.0457149	0.0171499	0.0452831	0.00267258	0.0691145	0.0460461	0.0229877	0.0402024	0.0289699	0.026222	0.00569978	0.0297213	0.0272927	0.0628128	0.0288218	0.0388613	0.00754103	0.00476543	0.0373032	0.0309147	0.023198	0.143274	0.387668	0.744059	1.34398	2.57952	6.97965	1.404921	0.0571732	0.0851101	0.0611426	0.0229375	0.0605651	0.00357451	0.092439	0.0615855	0.0307455	0.0537697	0.0387466	0.0350712	0.00762332	0.0397515	0.0365034	0.0840106	0.0385485	0.051976	0.010086	0.00637365	0.0498921	0.0413477	0.0310267	0.922879	0.0771211	0.9228789	0.7476771
144	-42.50604	-61.95281	19.44678	0.0915763	0.0717321	0.118596	0.177047	0.187493	0.0551623	0.0790559	0.0324134	0.200917	0.45744	0.0680339	0.122818	0.186935	0.164728	0.435983	0.184074	0.107199	0.0583908	0.185841	0.0077682	0.557586	0.102831	0.437219	0.666359	0.820393	0.940105	1.06371	1.21893	1.50069	0.2935135	0.0223857	0.0175348	0.0289906	0.0432788	0.0458324	0.0134843	0.0193251	0.00792341	0.049114	0.11182	0.0166308	0.0300228	0.0456959	0.0402675	0.106576	0.0449966	0.0262047	0.0142735	0.0454287	0.00189893	0.136301	0.0251369	0.106878	0.795052	0.204948	0.7950521	4.09084
180	-32.21327	-55.89079	23.67751	0.0661394	0.0353039	0.00364437	0.0148599	0.298902	0.120868	0.0456093	0.00760862	0.0197816	0.0267075	0.098526	0.0287199	0.0384643	0.034168	0.104168	0.00157884	0.048116	0.0303859	0.148925	0.156279	0.170353	0.0114458	0.0582112	0.814382	0.904713	0.969242	1.03173	1.10532	1.22792	0.1484646	0.0421601	0.0225043	0.00232308	0.00947236	0.190533	0.0770467	0.0290733	0.00485007	0.0126096	0.0170245	0.0628048	0.0183073	0.0245188	0.0217802	0.0664015	0.00100642	0.0306712	0.0193693	0.0949314	0.0996189	0.108591	0.00729606	0.0371064	0.456702	0.543298	0.4567025	1.568766
216	-41.93576	-64.22813	22.29237	0.259426	0.322232	0.129126	0.0148661	0.207311	0.0571557	0.198639	0.0163451	0.0265081	0.0590192	0.22296	0.00885079	0.0116542	0.0234498	0.0302671	0.0442338	0.0196933	0.0127299	0.0429191	0.012948	0.0568901	0.072054	0.125918	0.268367	0.526489	0.818613	1.22158	1.89937	3.72625	0.9511257	0.131342	0.163139	0.0653739	0.00752639	0.104957	0.0289367	0.100567	0.00827517	0.0134205	0.0298802	0.11288	0.00448097	0.00590028	0.0118721	0.0153236	0.0223947	0.00997028	0.0064449	0.021729	0.00655529	0.0288023	0.0364794	0.0637495	0.578945	0.421055	0.5789453	1.975196
252	-35.42422	-59.4566	24.03239	0.0562053	0.0465439	0.00543417	0.00485794	0.0285506	0.00949518	0.0294898	0.0107817	0.0201095	0.0251979	0.154058	0.0240134	0.00375303	0.00326143	0.00905211	0.0247195	0.00615883	0.0327945	0.00663361	0.000505328	0.00783212	0.0170402	0.109877	0.351441	0.600497	0.852903	1.17247	1.66529	2.84543	0.7561226	0.0883224	0.0731403	0.00853938	0.00763389	0.0448651	0.014921	0.046341	0.0169427	0.0316006	0.0395967	0.24209	0.0377353	0.00589761	0.0051251	0.0142247	0.0388448	0.00967815	0.0515342	0.0104242	0.000794085	0.0123076	0.0267773	0.172664	0.593305	0.406695	0.5933048	0.636365
288	-26.55769	-49.96831	23.41062	0.0818746	0.00398022	0.000336757	0.0256635	0.0684489	0.0109032	0.0600616	0.0151787	0.000430985	0.0660063	0.116064	0.0323693	0.073755	0.0519812	0.0445946	0.0596845	0.0445076	0.0122214	0.0511033	0.12267	0.028807	0.0258689	0.0359662	0.227807	0.486054	0.798456	1.25242	2.05739	4.38967	1.069603	0.0792992	0.00385502	0.000326164	0.0248563	0.0662958	0.0105602	0.0581723	0.0147012	0.000417428	0.06393	0.112413	0.031351	0.071435	0.0503461	0.0431918	0.0578071	0.0431075	0.011837	0.0494958	0.118812	0.0279008	0.0250552	0.0348349	0.84054	0.15946	0.8405399	1.032478
324	-37.73324	-60.96502	23.23178	0.143674	0.0158667	0.0207899	0.143406	0.0359641	0.0698593	0.0132114	0.0347816	0.0148876	0.088569	0.0103018	0.127226	0.16366	0.0664504	0.0344892	0.141148	0.0847978	0.35186	0.0466425	0.0666969	0.0587375	0.0673833	0.100578	0.844917	0.921101	0.974685	1.02597	1.08566	1.18355	0.1218492	0.0755789	0.0083466	0.0109364	0.0754379	0.0189187	0.036749	0.00694979	0.0182966	0.00783156	0.0465912	0.0054192	0.0669267	0.0860924	0.0349558	0.0181429	0.0742501	0.0446074	0.185094	0.024536	0.0350855	0.0308985	0.0354466	0.0529085	0.965856	0.0341444	0.9658556	1.900982
